management,crop,cropVar,prices,Harvest.percent,Transportation.cost.percent,Commercialization.cost.percent,Labors,Seeds,Agrochemicals,Others,Land.rental,Seq
1 Dic - 110N - 4.5pl,M,MZ-L,114.7,0.06,0.16,0.06,30.44,92.86,180,40,300,
1 Dic - 120N - 4.5pl,M,MZ-L,114.7,0.06,0.16,0.06,30.44,92.86,180,40,300,
1 Oct - 140N - 6.5pl,M,MZ-E,114.7,0.06,0.16,0.06,30.44,92.86,180,40,300,
1 Oct - 140N - 6pl,M,MZ-E,114.7,0.06,0.16,0.06,30.44,92.86,180,40,300,
10 Sept - 130N - 6pl,M,MZ-E,114.7,0.06,0.16,0.06,30.44,92.86,180,40,300,
15 Dic - 100N - 4.5pl,M,MZ-L,114.7,0.06,0.16,0.06,30.44,92.86,180,40,300,
15 Oct - 130N - 5.5pl,M,MZ-E,114.7,0.06,0.16,0.06,30.44,92.86,180,40,300,
15 Sept - 150N - 6.5pl,M,MZ-E,114.7,0.06,0.16,0.06,30.44,92.86,180,40,300,
15 Sept - 150N - 7pl,M,MZ-E,114.7,0.06,0.16,0.06,30.44,92.86,180,40,300,
20 Oct - 130N - 5.5pl,M,MZ-E,114.7,0.06,0.16,0.06,30.44,92.86,180,40,300,
25 Ago - 110N - 5.5pl,M,MZ-E,114.7,0.06,0.16,0.06,30.44,92.86,180,40,300,
25 Oct - 130N - 5.5pl,M,MZ-E,114.7,0.06,0.16,0.06,30.44,92.86,180,40,300,
25 Sept - 150N - 6.5pl,M,MZ-E,114.7,0.06,0.16,0.06,30.44,92.86,180,40,300,
25 Sept - 150N - 7pl,M,MZ-E,114.7,0.06,0.16,0.06,30.44,92.86,180,40,300,
30 Nov - 120N - 5pl,M,MZ-L,114.7,0.06,0.16,0.06,30.44,92.86,180,40,300,
30 Nov - 130N - 5.5pl,M,MZ-L,114.7,0.06,0.16,0.06,30.44,92.86,180,40,300,
30 Nov - 130N - 5pl,M,MZ-L,114.7,0.06,0.16,0.06,30.44,92.86,180,40,300,
30 Nov - 130N - 6pl,M,MZ-L,114.7,0.06,0.16,0.06,30.44,92.86,180,40,300,
5 Dic - 120N - 4.5pl,M,MZ-L,114.7,0.06,0.16,0.06,30.44,92.86,180,40,150,2
5 Dic - 120N - 5.5pl,M,MZ-L,114.7,0.06,0.16,0.06,30.44,92.86,180,40,150,2
III Largo - 10 Nov,S,SB,219.3,0.06,0.16,0.05,36.1,32.3,70,40,300,
III Largo - 15 Nov,S,SB,219.3,0.06,0.16,0.05,36.1,32.3,70,40,300,
III Largo - 15 Oct,S,SB,219.3,0.06,0.16,0.05,36.1,32.3,70,40,300,
III Largo - 20 Oct,S,SB,219.3,0.06,0.16,0.05,36.1,32.3,70,40,300,
IV Largo - 1 Nov,S,SB,219.3,0.06,0.16,0.05,36.1,32.3,70,40,300,
IV Largo - 10 Nov,S,SB,219.3,0.06,0.16,0.05,36.1,32.3,70,40,300,
IV Largo - 15 Nov,S,SB,219.3,0.06,0.16,0.05,36.1,32.3,70,40,300,
IV Largo - 20 Oct,S,SB,219.3,0.06,0.16,0.05,36.1,32.3,70,40,300,
IV Medio - 1 Nov,S,SB,219.3,0.06,0.16,0.05,36.1,32.3,70,40,300,
IV Medio - 10 Nov,S,SB,219.3,0.06,0.16,0.05,36.1,32.3,70,40,300,
IV Medio - 5 Dic,S,SB-L,219.3,0.06,0.16,0.05,38.55,34.2,23,20,150,2
V Largo - 1 Nov,S,SB,219.3,0.06,0.16,0.05,36.1,32.3,70,40,300,
VI Corto - 1 Nov,S,SB,219.3,0.06,0.16,0.05,36.1,32.3,70,40,300,
VI Corto - 20 Nov,S,SB,219.3,0.06,0.16,0.05,36.1,32.3,70,40,300,
Intermedio-Corto - 10 Jul - 160N,W,WH,129.6,0.07,0.16,0.05,33,30,130,20,150,1
Intermedio-Corto - 15 Jun - 100N,W,WH,129.6,0.07,0.16,0.05,33,30,130,20,150,1
Intermedio-Corto - 15 Jun - 110N,W,WH,129.6,0.07,0.16,0.05,33,30,130,20,150,1
Intermedio-Corto - 20 Jul - 140N,W,WH,129.6,0.07,0.16,0.05,33,30,130,20,150,1
Intermedio-Corto - 20 Jun - 120N,W,WH,129.6,0.07,0.16,0.05,33,30,130,20,150,1
Intermedio-Corto - 20 Jun - 130N,W,WH,129.6,0.07,0.16,0.05,33,30,130,20,150,1
Intermedio-Corto - 25 Jul - 140N,W,WH,129.6,0.07,0.16,0.05,33,30,130,20,150,1
Intermedio-Corto - 25 Jul - 160N,W,WH,129.6,0.07,0.16,0.05,33,30,130,20,150,1
Intermedio-Corto - 25 Jun - 120N,W,WH,129.6,0.07,0.16,0.05,33,30,130,20,150,1
Intermedio-Corto - 25 Jun - 130N,W,WH,129.6,0.07,0.16,0.05,33,30,130,20,150,1
Intermedio-Corto - 25 Jun - 140N,W,WH,129.6,0.07,0.16,0.05,33,30,130,20,150,1
Intermedio-Largo - 1 Jul - 140N,W,WH,129.6,0.07,0.16,0.05,33,30,130,20,150,1
Intermedio-Largo - 1 Jul - 160N,W,WH,129.6,0.07,0.16,0.05,33,30,130,20,150,1
Intermedio-Largo - 1 Jun - 120N,W,WH,129.6,0.07,0.16,0.05,33,30,130,20,150,1
Intermedio-Largo - 1 Jun - 130N,W,WH,129.6,0.07,0.16,0.05,33,30,130,20,150,1
Intermedio-Largo - 1 Jun - 140N,W,WH,129.6,0.07,0.16,0.05,33,30,130,20,150,1
Intermedio-Largo - 15 May - 100N,W,WH,129.6,0.07,0.16,0.05,33,30,130,20,150,1
Intermedio-Largo - 15 May - 110N,W,WH,129.6,0.07,0.16,0.05,33,30,130,20,150,1
Intermedio-Largo - 20 Jun - 160N,W,WH,129.6,0.07,0.16,0.05,33,30,130,20,150,1
Intermedio-Largo - 25 Jun - 140N,W,WH,129.6,0.07,0.16,0.05,33,30,130,20,150,1
Intermedio-Largo - 25 May - 120N,W,WH,129.6,0.07,0.16,0.05,33,30,130,20,150,1
Intermedio-Largo - 25 May - 130N,W,WH,129.6,0.07,0.16,0.05,33,30,130,20,150,1
Intermedio-Largo - 5 Jun - 140N,W,WH,129.6,0.07,0.16,0.05,33,30,130,20,150,1
