ensoDesc,y2,ensoVar,y2,JJA,JAS,ASO,SON,OND,NDJ,DJF,JFM,FMA,MAM,AMJ,MJJ
,1950,0,1951,-0.5,-0.4,-0.4,-0.4,-0.6,-0.8,-0.8,-0.5,-0.2,0.2,0.4,0.6
ME,1951,1,1952,0.7,0.9,1,1.2,1,0.8,0.5,0.4,0.3,0.3,0.2,0
WE,1952,0.5,1953,-0.1,0,0.2,0.1,0,0.1,0.4,0.6,0.6,0.7,0.8,0.8
WE,1953,0.5,1954,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.5,0,-0.4,-0.5,-0.5
WL,1954,-0.5,1955,-0.6,-0.8,-0.9,-0.8,-0.7,-0.7,-0.7,-0.6,-0.7,-0.8,-0.8,-0.7
ML,1955,-1,1956,-0.7,-0.7,-1.1,-1.4,-1.7,-1.5,-1.1,-0.8,-0.6,-0.5,-0.5,-0.5
,1956,0,1957,-0.6,-0.6,-0.5,-0.4,-0.4,-0.4,-0.2,0.1,0.4,0.7,0.9,1.1
SE,1957,1.5,1958,1.3,1.3,1.3,1.4,1.5,1.7,1.8,1.7,1.3,0.9,0.7,0.6
WE,1958,0.5,1959,0.6,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.3,0.2,-0.1
,1959,0,1960,-0.2,-0.3,-0.1,0,0,0,-0.1,-0.1,-0.1,0,0,0
,1960,0,1961,0.1,0.2,0.3,0.2,0.1,0.1,0,0,0,0.1,0.2,0.3
,1961,0,1962,0.1,-0.1,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.2
,1962,0,1963,0,-0.1,-0.1,-0.2,-0.3,-0.4,-0.4,-0.2,0.2,0.3,0.3,0.5
ME,1963,1,1964,0.9,1.1,1.2,1.3,1.4,1.3,1.1,0.6,0.1,-0.3,-0.6,-0.6
WL,1964,-0.5,1965,-0.6,-0.7,-0.8,-0.8,-0.8,-0.8,-0.6,-0.3,-0.1,0.2,0.5,0.8
SE,1965,1.5,1966,1.2,1.5,1.9,2,2,1.7,1.4,1.2,1,0.7,0.4,0.2
,1966,0,1967,0.2,0.1,-0.1,-0.1,-0.2,-0.3,-0.4,-0.5,-0.5,-0.4,-0.2,0
,1967,0,1968,0,-0.2,-0.3,-0.4,-0.3,-0.4,-0.6,-0.7,-0.6,-0.4,0,0.3
ME,1968,1,1969,0.6,0.5,0.4,0.5,0.7,1,1.1,1.1,0.9,0.8,0.6,0.4
WE,1969,0.5,1970,0.4,0.5,0.8,0.9,0.8,0.6,0.5,0.3,0.3,0.2,0,-0.3
