location,lon,lat,weatherStationCode,country,region,department
Marcos Juárez,-62.1057979,-32.6978556,87467,Argentina,Cordoba,Marcos Juárez
Coronel Suárez,-61.9328019,-37.4586139,87637,Argentina,Buenos Aires,Coronel Suárez
Pehuajó,-61.8987832,-35.8107166,87544,Argentina,Buenos Aires,Pehuajó
Reconquista,-59.6435242,-29.1448193,87270,Argentina,Santa Fe,General Obligado
Tandil,-59.1367167,-37.3287999,87645,Argentina,Buenos Aires,Tandil
Paraná,-60.5115471,-31.7413197,87374,Argentina,Entre Rios,Paraná
Pilar,-63.8786458,-31.6781613,87349,Argentina,Cordoba,Río Segundo
Nueve de Julio,-60.8845528,-35.4439072,87550,Argentina,Buenos Aires,9 de Julio
Río Cuarto,-64.3493441,-33.1231585,87453,Argentina,Cordoba,Río Cuarto
Laboulaye,-63.3907763,-34.1289345,87534,Argentina,Cordoba,Presidente Roque Sáenz Peña
Tres Arroyos,-60.2752295,-38.3775437,87688,Argentina,Buenos Aires,Tres Arroyos
Gualeguaychú,-58.5111667,-33.0077778,87497,Argentina,Entre Rios,Gualeguaychú
Junín,-60.949554,-34.5885499,87548,Argentina,Buenos Aires,Junín
Benito Juárez,-59.8048962,-37.6743158,87649,Argentina,Buenos Aires,Benito Juárez
