year,S,W,Mt,MT
1983,327.28,185.54,180.92,188.35
1984,346.9,186.14,163.04,175.92
1985,277.12,147.74,145.44,148.77
1986,263.82,162.85,122.55,137.3
1987,307.98,109.95,104.33,120.38
1988,374.89,132.96,126.99,204.71
1989,326.62,218.86,153.05,119.15
1990,262.05,183.39,146.09,166.83
1991,315.18,105.53,163.02,160.59
1992,327.32,206.63,150.63,169.82
1993,343.03,212.1,151.79,183.23
1994,371.96,203.8,168.71,174.68
1995,302.25,198.75,150.71,211.29
1996,439.58,351.91,286.47,271.04
1997,472.14,205.26,170.6,156.91
1998,310.17,170.2,134.97,143.94
1999,215.84,159.89,127.48,134.18
2000,265.54,134.78,120.85,109.13
2001,198.49,168.44,104.29,122.89
2002,184.87,106.3,93.88,103.92
2003,218.39,156.69,101.54,99.05
2004,283.72,169.61,121.23,107.81
2005,210.38,107.3,84.48,100.18
2006,212.59,130.87,105,108.63
2007,233.47,144.33,143.17,133.63
2008,328.24,211.34,188.03,188.49
2009,316.38,141.44,122.11,128.99
2010,257,160.27,131.23,146.48
2011,352.25,199.62,211.57,189.86
2012,371.75,147.25,175.42,174.54
2013,352.41,267.03,181.47,181.4
2014,337.12,247.14,185.51,146.06
2015,224.65,136.9,121.71,105.1
2016,284.31,146,178.79,193.9
2017,247.07,166.5,156.74,144.32
2018,303.95,167.54,156.44,156.1
